const_code,constituency,win_party,win_votes,second_party,second_votes,margin
179,Ramkola,BJP,45097,SP,40810,4287
180,Hata,BJP,36617,SP,29172,7445
181,Padrauna,BSP,81039,SP,28015,53024
182,Seorahi,SP,49498,BJP,41838,7660
183,Fazilnagar,SP,52301,BSP,28914,23387
184,Kasia,SP,52831,BJP,50264,2567
185,Gauri Bazar,BSP,53071,SP,40014,13057
186,Rudrapur,BSP,27566,BJP,21530,6036
187,Deoria,SP,25568,BSP,22776,2792
188,Bhatpar Rani,SP,47908,BSP,44292,3616
189,Salempur,SP,34844,BSP,25049,9795
190,Barhaj,BSP,44347,SP,26485,17862
191,Nathupur,BSP,40066,SP,34040,6026
192,Ghosi,BSP,39849,SP,32031,7818
193,Sagri,SP,47422,BSP,40287,7135
194,Gopalpur,BSP,44729,SP,43265,1464
195,Azamgarh,SP,52604,BSP,42350,10254
196,Nizamabad,BSP,60072,SP,46674,13398
197,Atraulia,BSP,66413,SP,63217,3196
198,Phulpur,SP,47766,BSP,45268,2498
199,Saraimir,SP,48172,BSP,47458,714
200,Mehnagar,BSP,40618,CPM,31077,9541
201,Lalganj,BSP,54336,BJP,32521,21815
202,Mubarakpur,BSP,43069,SP,40593,2476
203,Mohammadabad Gohna,BSP,42949,SP,39387,3562
204,Mau,IND,70226,BSP,63208,7018
205,Rasra,BSP,27018,BJP,23709,3309
206,Siar,BSP,42256,SP,31960,10296
207,Chilkahar,SP,36454,BSP,33328,3126
208,Sikanderpur,BSP,39773,SP,31774,7999
209,Bansdih,BSP,31488,SP,31000,488
210,Doaba,BSP,22549,BJP,19546,3003
211,Ballia,BSP,32084,SP,28916,3168
212,Kopachit,SP,41405,BSP,35228,6177
213,Zahoorabad,BSP,42654,SP,25554,17100
214,Mohammadabad,SP,56361,BJP,52975,3386
215,Dildarnagar,BSP,55150,SP,47968,7182
216,Zamania,BSP,42408,SP,41440,968
217,Ghazipur,SP,41829,BSP,40698,1131
218,Jakhania,BSP,49885,SP,41074,8811
219,Sadat,BSP,46280,SP,38350,7930
220,Saidpur,BSP,52869,BJP,40216,12653
221,Dhanapur,BSP,72642,SP,55403,17239
222,Chandauli,BSP,44355,SP,35849,8506
223,Chakia,BSP,48655,SP,45664,2991
224,Mughalsarai,SP,37467,BSP,35530,1937
225,Varanasi Cantonment,BJP,31642,SP,26163,5479
226,Varanasi South,BJP,33021,INC,19319,13702
227,Varanasi North,SP,26544,BJP,24345,2199
228,Chiraigaon,BSP,45251,SBSP,37517,7734
229,Kolasla,IND,43711,BSP,34874,8837
230,Gangapur,SP,49734,AD,39760,9974
231,Aurai,BSP,53759,AD,51028,2731
232,Gyanpur,SP,61230,BSP,58652,2578
233,Bhadohi,SP,60507,BSP,55487,5020
234,Barsathi,BSP,40994,SP,27196,13798
235,Mariahu,BSP,32971,IND,31261,1710
236,Kerakat,BSP,42584,SP,32346,10238
237,Beyalsi,BSP,47514,SP,32679,14835
238,Jaunpur,SP,37343,BSP,30485,6858
239,Rari,BJP,75432,SP,61815,13617
240,Shahganj,SP,41354,BSP,40688,666
241,Khutahan,SP,45947,BSP,35647,10300
242,Garwara,BJP,43236,SP,30603,12633
243,Machhlishahr,BSP,55181,SP,45656,9525
244,Dudhi,BSP,51720,SP,47348,4372
245,Robertsganj,BSP,43750,SP,28882,14868
246,Rajgarh,BSP,51943,SP,34656,17287
247,Chunar,BJP,45025,SP,41582,3443
248,Majhwa,BSP,45199,SP,40606,4593
249,Mirzapur,SP,38617,BSP,29540,9077
250,Chhanbey,BSP,43045,SP,22290,20755
251,Meja,BSP,54859,CPM,38647,16212
252,Karchana,BSP,62118,SP,61773,345
253,Bara,BJP,51592,BSP,47358,4234
254,Jhusi,BSP,59931,SP,42853,17078
255,Handia,BSP,62151,SP,60809,1342
256,Pratappur,SP,41454,BSP,34697,6757
257,Soraon,BSP,38280,SP,32739,5541
258,Nawabganj,BSP,40531,SP,31518,9013
259,Allahabad North,INC,29938,BSP,28151,1787
260,Allahabad South,BSP,34939,BJP,20129,14810
261,Allahabad West,BSP,56198,SP,45876,10322
262,Chail,BSP,36742,SP,21782,14960
263,Manjhanpur,BSP,57899,SP,30536,27363
264,Sirathu,BSP,48997,SP,26999,21998
265,Khaga,BJP,45109,INC,37214,7895
266,Kishunpur,BSP,38357,BJP,33490,4867
267,Haswa,BSP,35987,SP,26599,9388
268,Fatehpur,BJP,44237,BSP,30743,13494
269,Jahanabad,BSP,36760,SP,31452,5308
