const_code,constituency,win_party,win_votes,second_party,second_votes,None of the Above,margin,percent
182,Sareni,BJP,65873,BSP,52866,2545,13007,6.35
183,Unchahar,SP,59103,BJP,57169,2517,1934,0.93
184,Jagdishpur,BJP,84219,INC,67619,3104,16600,8.6
185,Gauriganj,SP,77915,INC,51496,1155,26419,13.14
186,Amethi,BJP,64226,SP,59161,694,5065,2.7
187,Isauli,SP,51583,BJP,47342,2256,4241,2.21
188,Sultanpur,BJP,86786,BSP,54393,1234,32393,15.81
189,Sadar,BJP,68950,BSP,50177,1935,18773,9.92
190,Lambhua,BJP,78627,BSP,65724,1785,12903,6.4
191,Kadipur,BJP,87353,BSP,60749,2718,26604,12.64
192,Kaimganj,BJP,116304,SP,79779,1964,36525,15.63
193,Amritpur,BJP,93502,SP,52995,1250,40507,23.19
194,Farrukhabad,BJP,93626,BSP,48199,359,45427,21.84
195,Bhojpur,BJP,93673,SP,58796,299,34877,18.58
196,Chhibramau,BJP,112209,BSP,74985,1861,37224,13.85
197,Tirwa,BJP,100426,SP,76217,1872,24209,11.26
198,Kannauj,SP,99635,BJP,97181,1706,2454,0.99
199,Jaswantnagar,SP,126834,BJP,74218,1327,52616,22.58
200,Etawah,BJP,91234,SP,73892,594,17342,7.85
201,Bharthana,BJP,82005,SP,80037,1608,1968,0.86
202,Bidhuna,BJP,81905,SP,77995,1270,3910,1.79
203,Dibiyapur,BJP,71480,SP,59386,690,12094,6.31
204,Auraiya,BJP,83580,BSP,51718,1191,31862,17.24
205,Rasulabad,BJP,88390,SP,54996,1421,33394,17.63
206,Akbarpur - Raniya,BJP,87430,SP,58701,1098,28729,14.14
207,Sikandra,BJP,87879,BSP,49776,1442,38103,19.67
208,Bhognipur,BJP,71466,BSP,52461,1565,19005,8.94
209,Bilhaur,BJP,102326,BSP,71160,1965,31166,12.95
210,Bithoor,BJP,113289,SP,54302,1900,58987,25.59
211,Kalyanpur,BJP,86620,SP,63278,921,23342,13.12
212,Govindnagar,BJP,112029,INC,40520,1247,71509,38.6
213,Sishamau,SP,73030,BJP,67204,791,5826,3.78
214,Arya Nagar,SP,70993,BJP,65270,681,5723,3.88
215,KIDWAI NAGAR,BJP,111407,INC,77424,1117,33983,16.57
216,Kanpur Cantt.,INC,81169,BJP,71805,729,9364,5.31
217,Maharajpur,BJP,132394,BSP,40568,1359,91826,38.79
218,Ghatampur,BJP,92776,BSP,47598,2160,45178,23.63
219,Madhaugarh,BJP,108737,BSP,62752,2582,45985,18.2
220,Kalpi,BJP,105988,BSP,54504,2356,51484,22.45
221,Orai,BJP,140485,SP,61606,2169,78879,29.75
222,Babina,BJP,96713,SP,79876,1982,16837,7.32
223,Jhansi Nagar,BJP,117873,BSP,62095,953,55778,23.03
224,Mauranipur,BJP,98905,SP,81934,3536,16971,6.31
225,Garautha,BJP,93378,SP,77547,2645,15831,6.92
226,Lalitpur,BJP,156942,SP,88687,4859,68255,21.47
227,Mehroni,BJP,159291,BSP,59727,4092,99564,32.35
228,Hamirpur,BJP,110888,SP,62233,3356,48655,19.26
229,Rath,BJP,147526,INC,42883,4595,104643,43.24
230,Mahoba,BJP,88291,SP,56904,2720,31387,15.91
231,Charkhari,BJP,98360,SP,54346,2775,44014,20.6
232,Tindwari,BJP,82197,BSP,44790,2875,37407,20.24
233,Baberu,BJP,76187,BSP,53886,3559,22301,11.5
234,Naraini,BJP,92412,INC,47405,3655,45007,22.06
235,Banda,BJP,83169,BSP,50341,979,32828,18
236,Chitrakoot,BJP,90366,SP,63430,3529,26936,12.18
237,Manikpur,BJP,84988,INC,40524,3752,44464,22.85
238,Jahanabad,Apna Dal (Soneylal),81438,SP,33832,1262,47606,26.23
239,Bindki,BJP,97996,SP,41618,2142,56378,30.65
240,Fatehpur,BJP,89481,SP,57983,1961,31498,16.14
241,Ayah Shah,BJP,81203,SP,29238,1600,51965,34.43
242,Husainganj,BJP,73595,INC,55002,2361,18593,10.58
243,Khaga,BJP,94954,INC,38520,3801,56434,30.58
244,Rampur Khas,INC,81463,BJP,64397,1595,17066,10
245,Babaganj,IND,87778,BJP,50618,3386,37160,22.12
246,Kunda,IND,136597,BJP,32950,3992,103647,51.56
247,Vishwanathganj,Apna Dal (Soneylal),81899,INC,58541,1951,23358,11.88
248,Pratapgarh,Apna Dal (Soneylal),80828,SP,46274,2191,34554,18.66
249,Patti,BJP,75011,SP,73538,2244,1473,0.71
250,Raniganj,BJP,67031,BSP,58022,1259,9009,5.08
251,Sirathu,BJP,78621,SP,52418,1806,26203,13.36
252,Manjhanpur,BJP,92818,BSP,88658,3949,4160,1.86
253,Chail,BJP,85713,INC,45597,1352,40116,19.73
254,Phaphamau,BJP,83239,SP,57254,2571,25985,12.66
255,Soraon,Apna Dal (Soneylal),77814,BSP,60079,2460,17735,8.34
256,Phulpur,BJP,93912,SP,67299,1614,26613,11.88
257,Pratappur,BSP,66805,Apna Dal (Soneylal),64151,2916,2654,1.28
258,Handia,BSP,72446,Apna Dal (Soneylal),63920,2414,8526,4.22
259,Meja,BJP,67807,SP,47964,2459,19843,10.95
260,Karachhana,SP,80806,BJP,65782,2308,15024,7.56
261,Allahabad West,BJP,85518,SP,60182,1659,25336,12.75
262,Allahabad North,BJP,89191,INC,54166,659,35025,20.22
263,Allahabad South,BJP,93011,SP,64424,665,28587,16.15
264,Bara,BJP,79209,SP,45156,2327,34053,17.93
265,Koraon,BJP,100427,INC,46731,3208,53696,27.36
266,Kursi,BJP,108403,SP,79724,1460,28679,10.92
267,Ram Nagar,BJP,88937,SP,66210,2094,22727,10.19
268,Barabanki,SP,99453,BSP,69748,1622,29705,12.11
269,Zaidpur,BJP,111064,INC,81883,2968,29181,11.39
270,Dariyabad,BJP,119173,SP,68487,3013,50686,19.91
271,Rudauli,BJP,90311,SP,59052,2225,31259,14.87
272,Haidergarh,BJP,97497,SP,63977,4096,33520,15.65
273,Milkipur,BJP,86960,SP,58684,2727,28276,14.15
274,Bikapur,BJP,94074,SP,67422,2257,26652,11.96
275,Ayodhya,BJP,107014,SP,56574,1544,50440,23.19
276,Goshainganj,BJP,89586,SP,77966,2878,11620,5.11
277,Katehari,BSP,84358,BJP,78071,2235,6287,2.68
278,Tanda,BJP,74768,SP,73043,1530,1725,0.84
279,Alapur,BJP,72366,SP,59853,1949,12513,6.33
280,Jalalpur,BSP,90309,BJP,77279,1531,13030,5.41
281,Akbarpur,BSP,72325,SP,58312,1719,14013,6.86
282,BALHA (S.C.),BJP,104135,BSP,57519,3382,46616,23.04
283,Nanpara,BJP,86312,INC,67643,3121,18669,9.67
284,Matera,SP,79188,BJP,77593,2717,1595,0.79
285,Mahasi,BJP,104654,INC,45685,3201,58969,29.91
286,Bahraich,BJP,87479,SP,80777,2604,6702,3.14
287,Payagpur,BJP,102254,SP,60713,2871,41541,20.15
288,Kaiserganj,BJP,85212,BSP,57849,3291,27363,13.06
289,Bhinga,BSP,76040,BJP,69950,4746,6090,2.7
290,Shrawasti,BJP,79437,SP,78992,4289,445,0.18
291,Tulsipur,BJP,62296,INC,43637,2459,18659,9.45
292,Gainsari,BJP,55716,BSP,53413,1914,2303,1.17
293,Utraula,BJP,85240,SP,56066,1977,29174,14.7
294,Balrampur,BJP,89401,INC,64541,3414,24860,12.86
295,Mehnaun,BJP,84304,BSP,47926,2019,36378,17.58
296,Gonda,BJP,58254,BSP,46576,1594,11678,6.03
297,Katra Bazar,BJP,92095,SP,61284,3014,30811,13.91
298,Colonelganj,BJP,82867,SP,54462,2748,28405,15.57
299,Tarabganj,BJP,100294,SP,61852,3384,38442,18.91
300,Mankapur,BJP,102862,BSP,42701,2769,60161,33.51
301,Gaura,BJP,72455,SP,42600,1435,29855,17.22
302,Shohratgarh,Apna Dal (Soneylal),67653,BSP,45529,1525,22124,11.85
303,Kapilvastu,BJP,114082,SP,75928,2623,38154,16.23
304,Bansi,BJP,77548,SP,58606,1641,18942,10.27
305,Itwa,BJP,59524,BSP,49316,1747,10208,6.34
306,Doomariyaganj,BJP,67227,BSP,67056,1611,171,0.08
307,Harraiya,BJP,97014,SP,66908,2274,30106,14.03
308,Kaptanganj,BJP,70527,BSP,63700,1898,6827,3.39
309,Rudhauli,BJP,90228,BSP,68423,2221,21805,9.8
310,Basti Sadar,BJP,92697,SP,50103,1206,42594,20.61
311,Mahadewa S.C,BJP,82429,BSP,56545,2231,25884,12.99
312,MENHDAWAL,BJP,86976,BSP,44062,2663,42914,19.09
313,KHALILABAD,BJP,72061,BSP,56024,835,16037,7.16
314,Dhanghata,BJP,79572,SP,62663,1871,16909,8.44
315,Pharenda,BJP,76312,INC,73958,1992,2354,1.18
316,Nautanwa,IND,79666,SP,47410,3490,32256,15.01
317,Siswa,BJP,122884,SP,54698,2501,68186,28.49
318,Maharajganj,BJP,125154,BSP,56793,2573,68361,27.65
319,Paniyara,BJP,119308,BSP,51817,2124,67491,27.67
320,Caimpiyarganj,BJP,91636,INC,58782,1806,32854,15.16
321,Pipraich,BJP,82739,BSP,69930,1204,12809,5.21
322,Gorakhpur Urban,BJP,122221,INC,61491,839,60730,27.75
323,Gorakhpur Rural,BJP,83686,SP,79276,1634,4410,1.87
324,Sahajanwa,BJP,72213,SP,56836,1723,15377,7.34
325,Khajani,BJP,71492,BSP,51413,2085,20079,10.69
326,Chauri-Chaura,BJP,87863,SP,42203,1150,45660,23.57
327,Bansgaon,BJP,71966,BSP,49093,2143,22873,12.79
328,Chillupar,BSP,78177,BJP,74818,2512,3359,1.52
329,Khadda,BJP,82537,BSP,44040,2140,38497,19.71
330,Padrauna,BJP,93649,BSP,53097,1658,40552,19.24
331,Tamkuhi Raj,INC,61211,BJP,43097,3305,18114,8.41
332,Fazilnagar,BJP,102778,SP,60856,2811,41922,19.55
333,Kushinagar,BJP,97132,BSP,49029,2208,48103,23.63
334,Hata,BJP,103864,SP,50788,1933,53076,25.49
335,Ramkola,Suheldev Bhartiya Samaj Party,102782,SP,47053,3144,55729,28.25
336,Rudrapur,BJP,77754,INC,50965,2561,26789,16.3
337,Deoria,BJP,88030,SP,41794,1440,46236,25.23
338,Pathardeva,BJP,99812,SP,56815,1450,42997,22.44
339,Rampur Karkhana,BJP,62886,SP,52899,2032,9987,5.19
340,Bhatpar Rani,SP,61862,BJP,50765,2039,11097,6.12
341,Salempur,BJP,76175,SP,50521,1951,25654,15.79
342,Barhaj,BJP,61996,BSP,50280,1338,11716,6.95
343,Atrauliya,SP,74276,BJP,71809,1980,2467,1.17
344,Gopalpur,SP,70980,BJP,56020,1521,14960,7.9
345,Sagri,BSP,62203,SP,56728,964,5475,3.06
346,Mubarakpur,BSP,70705,SP,70017,1628,688,0.36
347,Azamgarh,SP,88087,BJP,61825,2134,26262,12.27
348,Nizamabad,SP,67274,BSP,48745,1243,18529,11.06
349,Phoolpur Pawai,BJP,68435,BSP,61140,1609,7295,4.09
350,Didarganj,BSP,62125,SP,58480,1653,3645,1.94
351,Lalganj,BSP,72715,BJP,70488,2123,2227,1.09
352,Mehnagar,SP,69037,Suheldev Bhartiya Samaj Party,63625,2492,5412,2.68
353,Madhuban,BJP,86238,INC,56823,683,29415,13.73
354,Ghosi,BJP,88298,BSP,81295,1585,7003,2.9
355,Muhammadabad- Gohna (SC),BJP,73493,BSP,72955,1945,538,0.25
356,Mau,BSP,96793,Suheldev Bhartiya Samaj Party,88095,1725,8698,3.27
357,Belthara Road,BJP,77504,SP,59185,1305,18319,9.65
358,Rasara,BSP,92272,BJP,58385,1558,33887,17.54
359,Sikanderpur,BJP,69536,SP,45988,1122,23548,14.3
360,Phephana,BJP,70588,BSP,52691,1473,17897,10.02
361,Ballia Nagar,BJP,92889,SP,52878,1716,40011,21.52
362,Bansdih,SP,51201,IND,49514,918,1687,0.8
363,Bairia,BJP,64868,SP,47791,762,17077,10.53
364,Badlapur,BJP,60237,BSP,57865,1612,2372,1.24
365,Shahganj,SP,67818,Suheldev Bhartiya Samaj Party,58656,1473,9162,4.28
366,Jaunpur,BJP,90324,INC,78040,1939,12284,5.45
367,Malhani,SP,69351,Nirbal Indian Shoshit Hamara Aam Dal,48141,1707,21210,10.21
368,Mungra Badshahpur,BSP,69557,BJP,63637,2240,5920,2.9
369,Machhlishahr S.C.,SP,72368,BJP,68189,2165,4179,2.01
370,Mariyahu,Apna Dal (Soneylal),58804,SP,47454,1174,11350,6.3
371,Zafrabad,BJP,85989,SP,61124,1198,24865,12.04
372,Kerakat S.C.,BJP,84078,SP,68819,2557,15259,6.72
373,Jakhanian,Suheldev Bhartiya Samaj Party,84158,SP,79001,1837,5157,2.14
374,Saidpur,SP,76664,BJP,67954,1787,8710,4.09
375,Ghazipur,BJP,92090,SP,59483,1479,32607,15.27
376,Jangipur,SP,71441,BJP,68202,1109,3239,1.51
