const_code,constituency,win_party,win_votes,second_party,second_votes,margin,percent
173,Lucknow East,BJP,68726,SP,47908,20818,11
174,Lucknow Central,SP,62622,BJP,39890,22732,13.45
175,Lucknow Cantt,INC,63052,BJP,41299,21753,13.44
176,Mohanlalganj,SP,69488,BSP,45971,23517,11.33
177,Bachhrawan,SP,59576,RSBP,31628,27948,15.21
178,Tiloi,INC,61249,SP,58539,2710,1.47
179,Harchandpur,SP,51262,INC,37069,14193,8.61
180,Rae Bareli,PECP,75588,SP,46094,29494,15.5
181,Salon,SP,69020,INC,48443,20577,12.01
182,Sareni,SP,61666,BSP,48747,12919,6.93
183,Unchahar,SP,61930,BSP,59348,2582,1.38
184,Jagdishpur,INC,56309,SP,50912,5397,3.12
185,Gauriganj,SP,44287,INC,43784,503,0.28
186,Amethi,SP,58434,INC,49674,8760,5.37
187,Isauli,SP,48813,PECP,34872,13941,8.17
188,Sultanpur,SP,57811,BSP,50999,6812,3.76
189,Sadar,SP,71939,BSP,51032,20907,12.49
190,Lambhua,SP,74352,BSP,56980,17372,9.64
191,Kadipur,SP,97283,BSP,59173,38110,20.13
192,Kaimganj,SP,56279,BJP,34441,21838,11.17
193,Amritpur,SP,50911,JaKP,31940,18971,11.97
194,Farrukhabad,IND,33005,BJP,32858,147,0.08
195,Bhojpur,SP,51650,JaKP,33021,18629,10.81
196,Chhibramau,SP,70372,BSP,67946,2426,1.08
197,Tirwa,SP,78391,BSP,45899,32492,17.37
198,Kannauj,SP,95702,BSP,50020,45682,22.01
199,Jaswantnagar,SP,133563,BSP,52479,81084,37.58
200,Etawah,SP,74874,BSP,68610,6264,3.13
201,Bharthana,SP,85964,BSP,67999,17965,8.58
202,Bidhuna,SP,72226,BSP,54120,18106,9.05
203,Dibiyapur,SP,76819,BSP,52528,24291,13.71
204,Auraiya,SP,63477,BSP,51415,12062,6.93
205,Rasulabad,SP,66940,BSP,50105,16835,9.92
206,Akbarpur Raniya,SP,69148,BSP,67905,1243,0.67
207,Sikandra,BSP,54482,BJP,52293,2189,1.2
208,Bhognipur,SP,57555,BSP,52902,4653,2.37
209,Bilhaur,SP,87804,BSP,71747,16057,7.47
210,Bithoor,SP,61081,BSP,60410,671,0.33
211,Kalyanpur,SP,44789,BJP,42406,2383,1.59
212,Govind Nagar,BJP,57156,INC,44779,12377,7.65
213,Sishamau,SP,56496,BJP,36833,19663,14.68
214,Arya Nagar,BJP,51200,SP,35789,15411,12.26
215,Kidwai Nagar,INC,63400,BJP,61373,2027,1.15
216,Kanpur Cantt.,BJP,42551,SP,33243,9308,6.45
217,Maharajpur,BJP,83144,BSP,49969,33175,15.16
218,Ghatampur,SP,50669,BSP,49969,700,0.39
219,Madhogarh,BSP,71671,SP,50319,21352,8.5
220,Kalpi,INC,64289,BSP,57639,6650,2.99
221,Orai,SP,67298,BSP,60165,7133,3
222,Babina,BSP,68144,SP,61189,6955,3.49
223,Jhansi Nagar,BJP,67043,BSP,58963,8080,3.78
224,Mauranipur,SP,67785,BSP,61137,6648,2.85
225,Garautha,SP,70041,BSP,54243,15798,7.61
226,Lalitpur,BSP,79797,SP,68474,11323,4.12
227,Mehroni,BSP,70847,BJP,69110,1737,0.64
228,Hamirpur,BJP,63762,BSP,55938,7824,3.39
229,Rath,INC,91295,SP,55158,36137,16.02
230,Mahoba,BSP,43963,SP,43609,354,0.2
231,Charkhari,BJP,66888,SP,41623,25265,13.13
232,Tindwari,INC,61184,SP,46169,15015,9.25
233,Baberu,SP,41642,BSP,40494,1148,0.67
234,Naraini,BSP,52195,SP,47438,4757,2.75
235,Banda,INC,49455,BSP,41853,7602,4.93
236,Chitrakoot,SP,65267,BSP,49131,16136,8.85
237,Manikpur,BSP,43818,SP,40121,3697,2.22
238,Jahanabad,SP,78920,BSP,42709,36211,20.38
239,Bindki,BSP,49090,BJP,41128,7962,4.53
240,Fatehpur,SP,49830,BSP,46044,3786,2.03
241,Ayah Shah,BSP,49339,SP,38242,11097,7.6
242,Husainganj,BSP,44757,INC,41906,2851,1.66
243,Khaga,BJP,59234,BSP,40312,18922,10.76
244,Rampur Khas,INC,74545,BSP,43011,31534,20.9
245,Babaganj,IND,69332,BSP,27266,42066,29.9
246,Kunda,IND,111392,BSP,23137,88255,53.84
247,Bishwavnathganj,SP,49138,BSP,39951,9187,5.06
248,Pratapgarh,SP,43754,BSP,36244,7510,4.45
249,Patti,SP,61434,BJP,61278,156,0.08
250,Raniganj,SP,63076,BSP,50472,12604,7.78
251,Sirathu,BJP,57926,BSP,48063,9863,5.15
252,Manjhanpur,BSP,91000,SP,86818,4182,2.01
253,Chail,BSP,54796,SP,53506,1290,0.72
