A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
170,Maniram,GEN,Vijay Bahadur Yadav,M,BJP,47657,Kamlesh Paswan,M,SP,44409,3248
171,Sahjanwa,GEN,Yashpal Singh Ravat,M,IND,43751,Dev Narain Alias G.M. Singh,M,BSP,40694,3057
172,Paniara,GEN,Fateh Bahadur,M,BSP,52007,Badri Prasad,M,SP,48117,3890
173,Pharenda,GEN,Bajrang Bahadur Singh,M,BJP,40327,Virendra Chaudhary,M,BSP,31413,8914
174,Lakshmipur,GEN,Amar Mani,M,SP,64377,Kaushal Kishore,M,RJD,45244,19133
175,Siswa,GEN,Avnindra Nath Dwedi Allies Mahant Dubey,M,BJP,51206,Shivendra Singh Allies Shiv Babu,M,SP,43835,7371
176,Maharajganj,(SC),Sripati,M,SP,38529,Nirmesh Mangal,M,BSP,37640,889
177,Shyam Deurwa,GEN,Janaradan Prasad Ojha,M,SP,48351,Gyanendra,M,BJP,37503,10848
178,Naurangia,(SC),Shambhu Chaudhary,M,BJP,38308,Purnamasi Dehati,M,SP,35118,3190
179,Ramkola,GEN,Jaswant Singh Alias Atul,M,BJP,45097,Radheshyam Singh,M,SP,40810,4287
180,Hata,(SC),Ramapati Alias Ramakant,M,BJP,36617,Kailash Chand,M,SP,29172,7445
181,Padrauna,GEN,Sawami Pr. M.,M,BSP,81039,Shakir Ali,M,SP,28015,53024
182,Seorahi,GEN,Dr. P.K. Rai,M,SP,49498,Nand Kishor Mishra,M,BJP,41838,7660
183,Fazilnagar,GEN,Vishva Nath,M,SP,52301,Jagadish,M,BSP,28914,23387
184,Kasia,GEN,Brahma Shankar,M,SP,52831,Surya Pratap,M,BJP,50264,2567
185,Gauri Bazar,GEN,Pramod Singh,M,BSP,53071,Shaqir Ali,M,SP,40014,13057
186,Rudrapur,GEN,Suresh,M,BSP,27566,Jai Prakash Nishad,M,BJP,21530,6036
187,Deoria,GEN,Deenanath Kushwaha,M,SP,25568,Kamlesh,M,BSP,22776,2792
188,Bhatpar Rani,GEN,Kameswar Upadhyay,M,SP,47908,Sabhakunwar,M,BSP,44292,3616
189,Salempur,GEN,Choudhari Fasiha Vaseer,F,SP,34844,Margub Ahmad,M,BSP,25049,9795
190,Barhaj,GEN,Ram Prasad Jaisawal,M,BSP,44347,Swaminath,M,SP,26485,17862
191,Nathupur,GEN,Umesh Panday,M,BSP,40066,Amresh Chand Panday,M,SP,34040,6026
192,Ghosi,GEN,Phagoo,M,BSP,39849,Kapil Deo,M,SP,32031,7818
193,Sagri,GEN,Sarvesh Kumar Singh Sipu,M,SP,47422,Malik Masood,M,BSP,40287,7135
194,Gopalpur,GEN,Shyam Narayan,M,BSP,44729,Waseem Ahmad,M,SP,43265,1464
195,Azamgarh,GEN,Durga Prasad Yadav,M,SP,52604,Ramakant,M,BSP,42350,10254
196,Nizamabad,GEN,Angad Yadav,M,BSP,60072,Alam Badi,M,SP,46674,13398
197,Atraulia,GEN,Surendra Prasad Mishra,M,BSP,66413,Balram Yadav,M,SP,63217,3196
198,Phulpur,GEN,Arun Kumar Yadav,M,SP,47766,Imran,M,BSP,45268,2498
199,Saraimir,(SC),Bhola,M,SP,48172,Heera Lal,M,BSP,47458,714
200,Mehnagar,(SC),Vidya Chaudhary,F,BSP,40618,Ram Jag,M,CPM,31077,9541
201,Lalganj,GEN,Sukhdeo Rajbhar,M,BSP,54336,Narendra,M,BJP,32521,21815
202,Mubarakpur,GEN,Chandradeo,M,BSP,43069,Ram Darshan,M,SP,40593,2476
203,Mohammadabad Gohna,(SC),Rajendra Kumar,M,BSP,42949,Banwari,M,SP,39387,3562
204,Mau,GEN,Mukhtar Ansari,M,IND,70226,Vijay Pratap,M,BSP,63208,7018
205,Rasra,(SC),Ghoora Ram,M,BSP,27018,Anil Kumar,M,BJP,23709,3309
206,Siar,GEN,Kedarnath Verma,M,BSP,42256,Sharda Nand Anchal,M,SP,31960,10296
207,Chilkahar,GEN,Sanatan,M,SP,36454,Sangram,M,BSP,33328,3126
208,Sikanderpur,GEN,Shribhagwan,M,BSP,39773,Jiyaudin Rizwi,M,SP,31774,7999
209,Bansdih,GEN,Shiv Shanker,M,BSP,31488,Ramgovind Chaudhary,M,SP,31000,488
210,Doaba,GEN,Subhash,M,BSP,22549,Bharat,M,BJP,19546,3003
211,Ballia,GEN,Manju,F,BSP,32084,Narad,M,SP,28916,3168
212,Kopachit,GEN,Ambika Chaudhary,M,SP,41405,Sudhir,M,BSP,35228,6177
213,Zahoorabad,GEN,Kalicharan,M,BSP,42654,Sanand,M,SP,25554,17100
214,Mohammadabad,GEN,Sibagtulla Ansari,M,SP,56361,Alka Rai,F,BJP,52975,3386
215,Dildarnagar,GEN,Pashupati,M,BSP,55150,Omprakash,M,SP,47968,7182
216,Zamania,GEN,Raj Kumar,M,BSP,42408,Kailash S/O Luttu,M,SP,41440,968
217,Ghazipur,GEN,Saiyyada Shadab Fatima,F,SP,41829,Umashankar Kushwaha,M,BSP,40698,1131
218,Jakhania,(SC),Vijay Kumar,M,BSP,49885,Gareeb,M,SP,41074,8811
219,Sadat,(SC),Amerika,M,BSP,46280,Ramesh,M,SP,38350,7930
220,Saidpur,GEN,Dinanath Pandey,M,BSP,52869,Dr. Mahendra Nath Pandey,M,BJP,40216,12653
221,Dhanapur,GEN,Sushil Kumar,M,BSP,72642,Prabhu Narayan,M,SP,55403,17239
222,Chandauli,(SC),Sharda Prasad,M,BSP,44355,Ujagir,M,SP,35849,8506
223,Chakia,(SC),Jitendra Kumar,M,BSP,48655,Satya Prakash Sonker,M,SP,45664,2991
224,Mughalsarai,GEN,Ram Kishun,M,SP,37467,Babban,M,BSP,35530,1937
225,Varanasi Cantonment,GEN,Dr. Jyotasana Shrivastav,F,BJP,31642,Manoj Rai Pappu,M,SP,26163,5479
226,Varanasi South,GEN,Shyam Deo Roy Chaudhary Dada,M,BJP,33021,Dr. Dayashankar Misra Dayalu,M,INC,19319,13702
227,Varanasi North,GEN,Haji Abdul Samad Ansari,M,SP,26544,Dr. Shivnath Yadav,M,BJP,24345,2199
228,Chiraigaon,GEN,Udai Lal Maurya,M,BSP,45251,Radhakrishna Urf Sanjay Yadav,M,SBSP,37517,7734
229,Kolasla,GEN,Ajay Rai,M,IND,43711,Jai Prakash M.,M,BSP,34874,8837
230,Gangapur,GEN,Surendra Singh Patel,M,SP,49734,Neel Ratan Patel (Nilu),M,AD,39760,9974
231,Aurai,GEN,Rang Nath Mishra,M,BSP,53759,Rita Singh,F,AD,51028,2731
232,Gyanpur,GEN,Vijay Kumar,M,SP,61230,Dinesh Kumar,M,BSP,58652,2578
233,Bhadohi,(SC),Madhubala,F,SP,60507,Amar S. Saroj,M,BSP,55487,5020
234,Barsathi,GEN,Ravindra Nath Tripathi,M,BSP,40994,Shachindra Nath Tripathi,M,SP,27196,13798
235,Mariahu,GEN,Dr. K.K. Sachan,M,BSP,32971,Smt. Shradha Yadav,F,IND,31261,1710
236,Kerakat,(SC),Biraju Ram,M,BSP,42584,Munni Devi,F,SP,32346,10238
237,Beyalsi,GEN,Jagdish Narain,M,BSP,47514,Subhash Chandra,M,SP,32679,14835
238,Jaunpur,GEN,Javed Ansari,M,SP,37343,Tej Bahadur Maurya Alias Pappoo,M,BSP,30485,6858
239,Rari,GEN,Rajdeo Singh,M,BJP,75432,Om Pr.Dubey,M,SP,61815,13617
240,Shahganj,(SC),Jagdish Sonkar,M,SP,41354,Rampher Gautam,M,BSP,40688,666
241,Khutahan,GEN,Shailendra Yadav Lalai,M,SP,45947,Dinesh Kumar Yadav,M,BSP,35647,10300
242,Garwara,GEN,Seema,F,BJP,43236,Raj Narain Bind,M,SP,30603,12633
243,Machhlishahr,GEN,Subhash Pandey,M,BSP,55181,Jwala Prasad Yadav,M,SP,45656,9525
244,Dudhi,(SC),Chandra Mani Prasad,M,BSP,51720,Shiv Shankar,M,SP,47348,4372
245,Robertsganj,(SC),Satya Narayan Jaisal,M,BSP,43750,Munna,M,SP,28882,14868
246,Rajgarh,GEN,Anil Kumar Maurya,M,BSP,51943,Ravindra Bahadur,M,SP,34656,17287
