const_id,const_name,category,gender,party,muslim
48,Meerut,GEN,M,BJP,TRUE
47,Meerut Cantt.,GEN,M,BJP,TRUE
49,Meerut South,GEN,M,BJP,TRUE
352,Mehnagar,S.C.,M,SP,TRUE
295,Mehnaun,GEN,F,SP,TRUE
227,Mehroni,S.C.,M,BSP,TRUE
259,Meja,GEN,M,SP,TRUE
312,Menhdawal,GEN,M,SP,TRUE
38,Milak,S.C.,M,SP,TRUE
273,Milkipur,S.C.,M,SP,TRUE
396,Mirzapur,GEN,M,SP,TRUE
153,Misrikh,S.C.,M,SP,TRUE
57,Modinagar,GEN,M,RLD,TRUE
378,Mohammadabad,GEN,M,QED,TRUE
144,Mohammadi,GEN,M,BSP,TRUE
164,Mohan,S.C.,M,BSP,TRUE
176,Mohanlalganj,S.C.,F,SP,TRUE
28,Moradabad Nagar,GEN,M,SP,TRUE
27,Moradabad Rural,GEN,M,SP,TRUE
346,Mubarakpur,GEN,M,BSP,TRUE
380,Mughalsarai,GEN,M,BSP,TRUE
355,Muhammadabad Gohna,S.C.,M,SP,TRUE
368,Mungra Badshahpur,GEN,F,BJP,TRUE
54,Muradnagar,GEN,M,BSP,TRUE
14,Muzaffarnagar,GEN,M,SP,TRUE
18,Nagina,S.C.,M,SP,TRUE
17,Najibabad,GEN,M,BSP,TRUE
2,Nakur,GEN,M,BSP,TRUE
283,Nanpara,GEN,F,INC,TRUE
234,Naraini,S.C.,M,BSP,TRUE
40,Naugawan Sadat,GEN,M,SP,TRUE
316,Nautanwa,GEN,M,INC,TRUE
121,Nawabganj,GEN,M,SP,TRUE
21,Nehtaur,S.C.,M,BSP,TRUE
138,Nighasan,GEN,M,BJP,TRUE
348,Nizamabad,GEN,M,SP,TRUE
61,Noida,GEN,M,BJP,TRUE
24,Noorpur,GEN,M,BJP,TRUE
402,Obra,GEN,M,BSP,TRUE
221,Orai,S.C.,M,SP,TRUE
330,Padrauna,GEN,M,BSP,TRUE
137,Palia,GEN,M,BSP,TRUE
319,Paniyara,GEN,M,BSP,TRUE
338,Pathardeva,GEN,M,SP,TRUE
102,Patiyali,GEN,F,SP,TRUE
249,Patti,GEN,M,SP,TRUE
287,Payagpur,GEN,M,INC,TRUE
254,Phaphamau,GEN,M,SP,TRUE
315,Pharenda,GEN,M,BJP,TRUE
360,Phephana,GEN,M,BJP,TRUE
