const_id,const_name,party,gender,category,muslim,C&G,G&M,M&C
110,Karhal,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
111,Gunnaur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
112,Bisauli,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
113,Sahaswan,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
114,Bilsi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
115,Badaun,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
116,Shekhupur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
117,Dataganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
118,Baheri,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
119,Meerganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
120,Bhojipura,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
121,Nawabganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
122,Faridpur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
123,Bithari Chainpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
124,Bareilly,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
125,Bareilly Cantt.,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
126,Aonla,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
127,Pilibhit,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
128,Barkhera,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
129,Puranpur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
130,Bisalpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
131,Katra,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
132,Jalalabad,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
133,Tilhar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
134,Powayan,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
135,Shahjahanpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
136,Dadraul,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
137,PALIA,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
138,NIGHASAN,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
139,GOLA GOKRANNATH,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
140,SRI NAGAR,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
141,DHAURAHRA,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
142,LAKHIMPUR,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
143,KASTA,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
144,MOHAMMDI,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
145,Maholi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
146,Sitapur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
147,Hargaon,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
148,Laharpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
149,Biswan,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
150,Sevata,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
151,Mahmoodabad,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
152,Sidhauli,BSP,M,S.C.,FALSE,FALSE,FALSE,FALSE
153,Misrikh,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
154,Sawaijpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
155,Shahabad,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
156,Hardoi,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
157,Gopamau,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
158,Sandi,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
159,Bilgram-Mallanwan,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
160,Balamau,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
161,Sandila,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
162,Bangermau,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
163,Safipur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
164,Mohan,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
165,Unnao,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
166,Bhagwantnagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
167,Purwa,BSP,M,GEN,FALSE,FALSE,FALSE,FALSE
168,Malihabad,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
169,Bakshi Kaa Talab,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
170,Sarojini Nagar,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
171,Lucknow West,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
172,Lucknow North,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
173,Lucknow East,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
174,Lucknow Central,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
175,175-LUCKNOW CANTT.,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
176,Mohanlalganj,SP,M,S.C.,FALSE,FALSE,FALSE,FALSE
177,Bachhrawan,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
178,Tiloi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
179,Harchandpur,INC,M,GEN,FALSE,FALSE,FALSE,FALSE
180,Rae Bareli,INC,F,GEN,FALSE,FALSE,FALSE,FALSE
181,Salon,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
182,Sareni,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
183,Unchahar,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
184,Jagdishpur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
185,Gauriganj,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
186,Amethi,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
187,Isauli,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
188,Sultanpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
189,Sadar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
190,Lambhua,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
191,Kadipur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
192,Kaimganj,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
193,Amritpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
194,Farrukhabad,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
195,Bhojpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
196,Chhibramau,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
197,Tirwa,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
198,Kannauj,SP,M,S.C.,FALSE,FALSE,FALSE,FALSE
199,Jaswantnagar,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
200,Etawah,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
201,Bharthana,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
202,Bidhuna,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
203,Dibiyapur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
204,Auraiya,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
205,Rasulabad,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
206,Akbarpur - Raniya,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
207,Sikandra,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
208,Bhognipur,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
209,Bilhaur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
210,Bithoor,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
211,Kalyanpur,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
212,Govindnagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
213,Sishamau,SP,M,GEN,TRUE,FALSE,FALSE,FALSE
214,Arya Nagar,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
215,KIDWAI NAGAR,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
216,Kanpur Cantt.,INC,M,GEN,TRUE,FALSE,FALSE,FALSE
217,Maharajpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
218,Ghatampur,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
219,Madhaugarh,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
220,Kalpi,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
221,Orai,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
222,Babina,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
223,Jhansi Nagar,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
224,Mauranipur,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
225,Garautha,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
226,Lalitpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
227,Mehroni,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
228,Hamirpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
229,Rath,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
230,Mahoba,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
231,Charkhari,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
232,Tindwari,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
233,Baberu,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
234,Naraini,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
235,Banda,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
236,Chitrakoot,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
