const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
141,Utraula,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
142,Sadullanagar,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
143,Mankapur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
144,Mujehna,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
145,Gonda,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
146,Katra Bazar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
147,Colonelganj,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
148,Dixir,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
149,Harraiya,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
150,Captainganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
151,Nagar East,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
152,Basti,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
153,Ramnagar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
154,Domariaganj,GEN,F,BSP,TRUE,FALSE,TRUE,TRUE
155,Itwa,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
156,Shohratgarh,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
157,Naugarh,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
158,Bansi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
159,Khesraha,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
160,Menhdawal,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
161,Khalilabad,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
162,Hainsarbazar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
163,Bansgaon,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
164,Dhuriapar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
165,Chillupar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
166,Kauriram,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
167,Mundera Bazar,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
168,Pipraich,GEN,F,SP,FALSE,FALSE,FALSE,FALSE
169,Gorakhpur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
170,Maniram,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
171,Sahjanwa,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
172,Paniara,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
173,Pharenda,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
174,Lakshmipur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
175,Siswa,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
176,Maharajganj,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
177,Shyam Deurwa,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
178,Naurangia,S.C.,M,BJP,FALSE,FALSE,FALSE,FALSE
179,Ramkola,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
180,Hata,S.C.,M,BJP,FALSE,FALSE,FALSE,FALSE
181,Padrauna,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
182,Seorahi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
183,Fazilnagar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
184,Kasia,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
185,Gauri Bazar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
186,Rudrapur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
187,Deoria,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
188,Bhatpar Rani,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
189,Salempur,GEN,F,SP,TRUE,FALSE,TRUE,TRUE
190,Barhaj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
191,Nathupur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
192,Ghosi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
193,Sagri,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
194,Gopalpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
195,Azamgarh,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
196,Nizamabad,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
197,Atraulia,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
198,Phulpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
199,Saraimir,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
