candidate_id,state_name,constituency_number,candidate_name_eci,sitting_mla,adr_party,eci_party,education,age,assets_number,liabilities_number,assets_minus_liabilities,criminal_cases,gender
6621,Uttar Pradesh,385,LALATA,,Bhartiya Samajik Kranti Dal,Bhartiya Samajik Kranti Dal,12th Pass,52,503000,1500,501500,0,M
6622,Uttar Pradesh,385,LALJI SONKAR,,SP,Samajwadi Party,Literate,37,2463821,0,2463821,1,M
6623,Uttar Pradesh,385,MAHENDRA PRATAP GAUTAM,,Mahakranti Dal,Mahakranti Dal,8th Pass,41,163000,0,163000,4,M
6624,Uttar Pradesh,385,RAJESH,,RLD,Rashtriya Lok Dal,Graduate Professional,38,2355000,750000,1605000,0,M
6625,Uttar Pradesh,385,SADANAND PRASAD,,IND,Independent,Graduate,29,610039,0,610039,0,M
6626,Uttar Pradesh,385,SAURABH KUMAR,,IND,Independent,Graduate Professional,25,3003820,20000000,-16996180,0,M
6627,Uttar Pradesh,385,SHASHIKANT,,Ambedkar Samaj Party,Ambedkar Samaj Party,12th Pass,28,82200,0,82200,2,M
6628,Uttar Pradesh,385,TRIBHUVAN RAM,,BSP,Bahujan Samaj Party,Graduate Professional,68,85427698,6500000,78927698,1,M
6629,Uttar Pradesh,385,VIDYA DEVI,,Bahujan Mukti Party,Bahujan Mukti Party,8th Pass,47,2861944,0,2861944,0,M
5083,Uttar Pradesh,281,CHANDRA PRAKASH VERMA,,BJP,Bharatiya Janata Party,Post Graduate,45,12703157,0,12703157,0,M
5084,Uttar Pradesh,281,NAND KUMAR TIWARI RANA,,SHS,Shivsena,8th Pass,45,2193200,950000,1243200,0,M
5085,Uttar Pradesh,281,NAND LAL 'BHARTI',,Bahujan Mukti Party,Bahujan Mukti Party,Post Graduate,60,6757300,0,6757300,0,M
5086,Uttar Pradesh,281,RAGHUNATH,,IND,Independent,Post Graduate,47,210000,0,210000,0,M
5087,Uttar Pradesh,281,RAJA RAM NISHAD,,CPI(M),Communist Party of India (Marxist),Post Graduate,74,13466000,0,13466000,0,M
5088,Uttar Pradesh,281,RAJESH KUMAR,,Janvadi Party(Socialist),Janvadi Party(Socialist),Graduate Professional,29,20000,0,20000,0,M
5089,Uttar Pradesh,281,RAM ACHAL RAJBHAR,,BSP,Bahujan Samaj Party,Graduate,62,22055532,0,22055532,0,M
5090,Uttar Pradesh,281,RAM MURTI VERMA,,SP,Samajwadi Party,12th Pass,52,33875383,8807232,25068151,0,M
5091,Uttar Pradesh,281,RAVI SINHA,,IND,Independent,Post Graduate,35,1571176,0,1571176,0,M
5092,Uttar Pradesh,281,SAROJ SHARMA,,Moulik Adhikar Party,Moulik Adhikar Party,Post Graduate,42,135500,0,135500,0,F
5093,Uttar Pradesh,281,SHRIRAM,,Nirbal Indian Shoshit Hamara Aam Dal,Nirbal Indian Shoshit Hamara Aam Dal,Post Graduate,58,11555151,2682000,8873151,1,M
5094,Uttar Pradesh,281,SRIRAM VERMA,,IND,Independent,Literate,49,4757691,0,4757691,0,M
5095,Uttar Pradesh,281,TIGER RAM NIHOR PATEL,,IND,Independent,8th Pass,66,5356360,0,5356360,0,M
3559,Uttar Pradesh,206,ABDUL SATTAR,,Bahujan Mukti Party,Bahujan Mukti Party,8th Pass,74,685000,0,685000,0,M
3560,Uttar Pradesh,206,ANAND AWASTHI,,Bhartiya Shakti Chetna Party,Bhartiya Shakti Chetna Party,Graduate,30,2140000,460000,1680000,0,M
3561,Uttar Pradesh,206,BALVAN SINGH,,RLD,Rashtriya Lok Dal,8th Pass,52,16415543,0,16415543,0,M
3562,Uttar Pradesh,206,DEEPENDRA SINGH CHAUHAN,,IND,Independent,Graduate,42,57484961,0,57484961,0,M
3563,Uttar Pradesh,206,DR. SATISH SHUKLA,,BSP,Bahujan Samaj Party,Doctorate,40,25171385,480000,24691385,0,M
3564,Uttar Pradesh,206,LALIT KUMAR,,Peace Party,Peace Party,8th Pass,33,2258018,0,2258018,4,M
3565,Uttar Pradesh,206,NEERAJ SINGH,,SP,Samajwadi Party,Graduate,36,14159613,0,14159613,0,M
3566,Uttar Pradesh,206,PRATIBHA,,IND,Independent,Graduate,30,1394000,150000,1244000,0,F
3567,Uttar Pradesh,206,PRATIBHA SHUKLA,,BJP,Bharatiya Janata Party,Post Graduate,56,47637179,4320289,43316890,0,M
3568,Uttar Pradesh,206,RAMPRAKASH KUSHWAHA,,Al-Hind Party,Al-Hind Party,8th Pass,50,2036000,0,2036000,0,M
