const_id,const_name,category,gender,party,muslim
237,Manikpur,GEN,M,BJP,FALSE
238,Jahanabad,GEN,M,Apna Dal (Soneylal),FALSE
239,Bindki,GEN,M,BJP,FALSE
240,Fatehpur,GEN,M,BJP,FALSE
241,Ayah Shah,GEN,M,BJP,FALSE
242,Husainganj,GEN,M,BJP,FALSE
243,Khaga,S.C.,F,BJP,FALSE
244,Rampur Khas,GEN,F,INC,FALSE
245,Babaganj,S.C.,M,IND,FALSE
246,Kunda,GEN,M,IND,FALSE
247,Vishwanathganj,GEN,M,Apna Dal (Soneylal),FALSE
248,Pratapgarh,GEN,M,Apna Dal (Soneylal),FALSE
249,Patti,GEN,M,BJP,FALSE
250,Raniganj,GEN,M,BJP,FALSE
251,Sirathu,GEN,M,BJP,FALSE
252,Manjhanpur,S.C.,M,BJP,FALSE
253,Chail,GEN,M,BJP,FALSE
254,Phaphamau,GEN,M,BJP,FALSE
255,Soraon,S.C.,M,Apna Dal (Soneylal),FALSE
256,Phulpur,GEN,M,BJP,FALSE
257,Pratappur,GEN,M,BSP,TRUE
258,Handia,GEN,M,BSP,FALSE
259,Meja,GEN,F,BJP,FALSE
260,Karachhana,GEN,M,SP,FALSE
261,Allahabad West,GEN,M,BJP,FALSE
262,Allahabad North,GEN,M,BJP,FALSE
263,Allahabad South,GEN,M,BJP,FALSE
264,Bara,S.C.,M,BJP,FALSE
265,Koraon,S.C.,M,BJP,FALSE
266,Kursi,GEN,M,BJP,FALSE
267,Ram Nagar,GEN,M,BJP,FALSE
268,Barabanki,GEN,M,SP,FALSE
269,Zaidpur,S.C.,M,BJP,FALSE
270,Dariyabad,GEN,M,BJP,FALSE
271,Rudauli,GEN,M,BJP,FALSE
272,Haidergarh,S.C.,M,BJP,FALSE
273,Milkipur,S.C.,M,BJP,FALSE
274,Bikapur,GEN,F,BJP,FALSE
275,Ayodhya,GEN,M,BJP,FALSE
276,Goshainganj,GEN,M,BJP,FALSE
277,Katehari,GEN,M,BSP,FALSE
278,Tanda,GEN,F,BJP,FALSE
279,Alapur,S.C.,F,BJP,FALSE
280,Jalalpur,GEN,M,BSP,FALSE
281,Akbarpur,GEN,M,BSP,FALSE
