const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
136,Dadraul,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
137,Palia,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
138,Nighasan,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
139,Gola Gokrannath,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
140,Srinagar,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
141,Dhaurahra,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
142,Lakhimpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
143,Kasta,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
144,Mohammadi,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
145,Maholi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
146,Sitapur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
147,Hargaon,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
148,Laharpur,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
149,Biswan,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
150,Sevata,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
151,Mahmoodabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
152,Sidhauli,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
153,Misrikh,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
154,Sawaijpur,GEN,F,BSP,FALSE,FALSE,FALSE,FALSE
155,Shahabad,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
156,Hardoi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
157,Gopamau,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
158,Sandi,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
159,Bilgram Mallanwan,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
160,Balamau,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
161,Sandila,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
162,Bangarmau,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
163,Safipur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
164,Mohan,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
165,Unnao,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
166,Bhagwant Nagar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
167,Purwa,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
168,Malihabad,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
169,Bakshi Kaa Talab,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
170,Sarojini Nagar,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
171,Lucknow West,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
172,Lucknow North,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
173,Lucknow East,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
174,Lucknow Central,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
175,Lucknow Cantt,GEN,F,INC,FALSE,FALSE,FALSE,FALSE
176,Mohanlalganj,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
177,Bachhrawan,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
178,Tiloi,GEN,M,INC,TRUE,FALSE,FALSE,TRUE
179,Harchandpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
